ID,Group,round,Decmaps,Decpics,Expltime,Dectime_interval,Dectimes,Payoffs
201901,Lc,1,"[262, 327, 310, 257, 145, 359, 303, 312, 206, 353, 190, 169, 301, 269, 181, 337, 183, 171, 161, 265]","[269, 257, 310, 145]","[0, 14.32499999999709, 0, 0, 1.5230000000010477, 0, 0, 2.6969999999928405, 0, 0, 0, 0, 0, 1.7989999999990687, 12.353000000002794, 0, 0, 0, 0, 0]","[60.13799999999901, 20.718000000000757, 4.761000000005879, 19.645999999993364]","[56215.577, 56275.715, 56296.433, 56301.194, 56320.84]","[2, 2, 4, 5]"
201901,Lc,2,"[74, 248, 240, 36, 59, 217, 52, 132, 75, 2, 46, 88, 20, 135, 123, 108, 33, 143, 62, 232]","[52, 46, 217, 59]","[0, 0, 0, 0, 0, 12.415000000000873, 0, 0, 17.645999999993364, 72.51600000000326, 0, 0, 0, 0, 13.144999999996799, 0, 0, 0, 17.279000000009546, 0]","[13.49500000000262, 0.8909999999959837, 3.474000000001979, 9.031000000002678]","[56331.835, 56345.33, 56346.221, 56349.695, 56358.726]","[4, 4, 6, 4]"
201901,Lc,3,"[82, 60, 32, 131, 50, 241, 8, 87, 240, 140, 22, 129, 47, 15, 236, 119, 92, 96, 252, 65]","[131, 140, 129, 119]","[75.79699999999139, 0, 8.709999999999127, 2.6160000000018044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48.5060000000085, 1.52999999999156]","[10.364999999997963, 1.2640000000028522, 3.502999999996973, 1.8240000000005239]","[56549.057, 56559.422, 56560.686, 56564.189, 56566.013]","[2, 2, 2, 2]"
201901,Lc,4,"[190, 178, 283, 325, 214, 314, 189, 216, 277, 355, 311, 286, 317, 153, 331, 357, 292, 266, 168, 151]","[151, 168, 178, 153]","[0, 0, 0, 0, 15.001999999993131, 0, 0, 0, 0.8510000000023865, 0, 0, 0, 3.5980000000054133, 0, 0, 10.394999999996799, 0, 0, 0, 19.630000000011933]","[73.02000000000407, 1.532999999995809, 1.9769999999989523, 4.143000000003667]","[56572.971, 56645.991, 56647.524, 56649.501, 56653.644]","[5, 5, 5, 5]"
201901,Lc,5,"[183, 78, 328, 350, 63, 286, 39, 108, 356, 216, 41, 84, 101, 348, 262, 265, 70, 267, 181, 192]","[181, 192, 216, 183]","[0, 0, 0, 0, 13.172000000013213, 0, 0, 0, 0, 0, 0, 0, 35.65899999999965, 11.171999999991385, 0, 0, 0, 2.459000000002561, 12.353000000002794, 0]","[22.51299999999901, 1.5459999999948195, 1.9120000000039, 1.6889999999984866]","[56859.999, 56882.512, 56884.058, 56885.97, 56887.659]","[6, 6, 6, 6]"
201901,Lc,6,"[173, 155, 293, 218, 217, 25, 135, 248, 161, 320, 313, 179, 120, 308, 31, 129, 26, 236, 143, 9]","[218, 161, 217, 236]","[2.596000000005006, 0, 0, 0, 12.415000000000873, 0, 0, 0, 0, 0, 4.131000000001222, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[35.24199999999837, 1.4610000000029686, 1.5199999999967986, 2.7520000000004075]","[56899.22, 56934.462, 56935.923, 56937.443, 56940.195]","[6, 5, 6, 6]"
201901,Lc,7,"[195, 303, 280, 307, 298, 292, 288, 100, 257, 6, 7, 96, 84, 193, 194, 272, 26, 103, 199, 8]","[288, 280, 272, 7]","[0, 0, 21.78899999999703, 0, 7.362999999997555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.802000000010594, 13.703999999997905, 0]","[83.75400000000081, 1.7399999999979627, 1.8000000000029104, 14.20799999999872]","[57147.163, 57230.917, 57232.657, 57234.457, 57248.665]","[2, 2, 2, 3]"
201901,Lc,8,"[132, 348, 58, 60, 335, 360, 144, 231, 137, 56, 224, 158, 168, 230, 331, 239, 174, 125, 155, 46]","[137, 125, 132, 144]","[0, 11.171999999991385, 0, 0, 0, 0, 0, 0, 0, 2.7669999999998254, 0, 0, 0, 0, 0, 49.44199999999546, 22.37399999999616, 0, 0, 0]","[15.897999999993772, 0.8709999999991851, 1.0160000000032596, 0.3819999999977881]","[57254.607, 57270.505, 57271.376, 57272.392, 57272.774]","[2, 2, 2, 2]"
201901,Lc,9,"[143, 31, 138, 322, 190, 28, 187, 209, 178, 296, 32, 144, 314, 167, 20, 137, 198, 150, 159, 311]","[28, 32, 31, 20]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 21.45999999999185, 8.709999999999127, 0, 0, 0, 0, 0, 23.554000000003725, 66.60699999999633, 0, 0]","[20.67500000000291, 1.9549999999944703, 4.0570000000006985, 2.1589999999996508]","[57466.445, 57487.12, 57489.075, 57493.132, 57495.291]","[3, 3, 3, 3]"
201901,Lc,10,"[53, 90, 220, 265, 280, 240, 38, 227, 356, 357, 50, 330, 47, 272, 104, 271, 359, 235, 80, 87]","[357, 359, 356, 227]","[15.415999999997439, 0, 0, 0, 21.78899999999703, 0, 0, 0, 0, 10.394999999996799, 0, 0, 0, 0, 0, 0, 0, 54.92700000000332, 10.442000000002736, 0]","[15.766999999999825, 16.114000000001397, 8.157999999995809, 27.75499999999738]","[57501.493, 57517.26, 57533.374, 57541.532, 57569.287]","[3, 3, 3, 6]"
