ID,Group,round,Decmaps,Decpics,Expltime,Dectimes_interval,Dectimes,Payoffs
202501,HL,1,"[328, 315, 300, 267, 261, 352, 324, 360, 276, 297, 185, 192, 180, 150, 169, 333, 193, 210, 168, 260]","[185, 192, 297, 193]","[0, 36.12, 0, 0, 3.0799999999999996, 0, 0, 0.97, 0, 0, 11.799999999999999, 0, 0, 0.11, 0, 0, 0, 0, 0, 0]","[57.4, 0.58, 10.15, 3.97]","[53398.134, 53455.53, 53456.106, 53466.258, 53470.225]","[6, 6, 4, 6]"
202501,HL,2,"[77, 118, 220, 36, 113, 51, 79, 231, 136, 68, 115, 8, 245, 64, 38, 73, 24, 106, 10, 226]","[136, 113, 118, 115]","[11.09, 0, 0.8500000000000001, 2.5300000000000002, 0.72, 0, 0, 0, 0, 0, 0, 0, 0, 116.77, 0, 0, 0, 0, 0, 0]","[16.43, 0.39, 0.24, 6.27]","[53473.228, 53489.656, 53490.046, 53490.287, 53496.558]","[2, 2, 2, 2]"
202501,HL,3,"[26, 213, 258, 323, 154, 185, 23, 321, 307, 3, 162, 174, 214, 216, 256, 263, 314, 254, 180, 19]","[258, 174, 180, 154]","[0, 0, 0, 0, 3.9800000000000004, 11.799999999999999, 0, 0, 0, 0, 0, 0, 0, 0, 143.04, 0, 224.02000000000004, 0, 0, 9.03]","[29.07, 4.49, 4.73, 2.6]","[53780.331, 53809.398, 53813.886, 53818.614, 53821.214]","[2, 5, 5, 5]"
202501,HL,4,"[87, 222, 234, 220, 346, 63, 88, 134, 55, 341, 349, 130, 110, 79, 112, 85, 235, 44, 359, 37]","[110, 234, 220, 222]","[0, 0, 0, 0.8500000000000001, 0, 0.33, 0, 0, 0, 10.84, 0, 0, 0, 0, 0.64, 3.3300000000000005, 0, 0, 0, 0]","[20.13, 20.06, 1.06, 16.89]","[53822.978, 53843.111, 53863.171, 53864.227, 53881.116]","[2, 6, 6, 6]"
202501,HL,5,"[37, 250, 47, 180, 117, 249, 337, 125, 356, 146, 58, 64, 239, 161, 224, 131, 345, 123, 332, 148]","[37, 47, 161, 356]","[0, 0, 0, 0, 0, 0, 0.21, 0, 0, 0, 0, 116.77, 0, 2.8900000000000006, 3.9699999999999998, 2.08, 0, 0, 0, 0]","[15.4, 2.54, 1.41, 2.86]","[54106.991, 54122.394, 54124.932, 54126.339, 54129.204]","[4, 4, 5, 3]"
202501,HL,6,"[311, 259, 32, 200, 288, 188, 34, 275, 191, 315, 103, 96, 79, 33, 318, 187, 16, 94, 270, 323]","[191, 200, 94, 103]","[0, 0, 0, 0, 0, 0, 0, 155.47, 0.13, 36.12, 0, 1.4100000000000001, 0, 0, 0, 0, 1.3900000000000001, 0, 0, 0]","[36.61, 3.51, 5.41, 4.45]","[54131.223, 54167.831, 54171.336, 54176.743, 54181.191]","[6, 6, 5, 5]"
202501,HL,7,"[332, 215, 267, 74, 297, 318, 359, 94, 200, 315, 83, 266, 302, 352, 211, 105, 354, 270, 261, 195]","[318, 302, 315, 266]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 36.12, 0, 0, 0, 0, 0, 2.51, 6.41, 0, 3.0799999999999996, 3.96]","[23.65, 1.33, 1.58, 29.64]","[54476.903, 54500.551, 54501.878, 54503.455, 54533.094]","[4, 4, 4, 2]"
202501,HL,8,"[33, 239, 158, 115, 51, 164, 23, 50, 113, 64, 141, 148, 227, 58, 218, 125, 30, 8, 175, 237]","[227, 239, 115, 23]","[0, 0, 0, 0, 0, 0, 0, 0, 0.72, 116.77, 0, 0, 1.45, 0, 0, 0, 1.54, 0, 0.34, 0]","[29.89, 1.36, 21.12, 5.62]","[54535.816, 54565.71, 54567.071, 54588.191, 54593.807]","[6, 6, 2, 3]"
202501,HL,9,"[324, 281, 89, 20, 92, 297, 4, 33, 234, 82, 270, 235, 84, 250, 266, 260, 290, 323, 248, 22]","[266, 92, 235, 84]","[0, 19.45, 3.51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.06, 0, 0.8999999999999999, 3.34]","[56.81, 4.86, 8.04, 8.98]","[54797.432, 54854.24, 54859.095, 54867.135, 54876.111]","[2, 5, 6, 5]"
202501,HL,10,"[141, 214, 136, 340, 38, 170, 179, 125, 348, 155, 39, 207, 187, 37, 332, 51, 138, 216, 147, 343]","[38, 37, 51, 39]","[0, 0, 0, 0, 0, 0, 0, 0, 1.09, 1.2, 1.4, 1.69, 0, 0, 0, 0, 0.22, 0, 0, 0]","[15.33, 2.68, 16.55, 2.7]","[54878.707, 54894.039, 54896.719, 54913.268, 54915.964]","[4, 4, 4, 4]"
